name, ncIn, ncOut, cIn, cOut, speed, time,,
1,10,730,730,2530,10,2520,,
2,20,740,740,2531,40,2511,,
3,30,750,750,2532,40,2502,,
4,40,760,760,2533,40,2493,,
5,50,770,770,2534,40,2484,,
6,60,780,780,2535,40,2475,,
7,70,790,790,2536,40,2466,,
8,80,800,800,2537,40,2457,,
9,90,810,810,2538,40,2448,,
10,100,820,820,2539,40,2439,,
11,110,830,830,2540,40,2430,,
12,120,840,840,2541,40,2421,,
13,130,850,850,2542,40,2412,,
14,140,860,860,2543,40,2403,,
15,150,870,870,2544,40,2394,,
16,160,880,880,2545,40,2385,,
17,170,890,890,2546,40,2376,,
18,180,900,900,2547,40,2367,,
19,190,910,910,2548,40,2358,,
20,200,920,920,2549,40,2349,,
21,210,930,930,2550,40,2340,,
22,220,940,940,2551,40,2331,,
23,230,950,950,2552,40,2322,,
24,240,960,960,2553,40,2313,,
25,250,970,970,2554,40,2304,,
26,260,980,980,2555,40,2295,,
27,270,990,990,2556,40,2286,,
28,280,1000,1000,2557,40,2277,,
29,290,1010,1010,2558,40,2268,,
30,300,2531,2531,2981,40,2681,,
31,310,2532,2532,4332,10,4022,,
32,320,2533,2533,4333,40,4013,,
33,330,2534,2534,4334,40,4004,,
34,340,2535,2535,4335,40,3995,,
35,350,2536,2536,4336,40,3986,,
36,360,2537,2537,4337,40,3977,,
37,370,2538,2538,4338,40,3968,,
38,380,2539,2539,4339,40,3959,,
39,390,2540,2540,4340,40,3950,,
40,400,2541,2541,4341,40,3941,,
41,410,2542,2542,4342,40,3932,,
42,420,2543,2543,4343,40,3923,,
43,430,2544,2544,4344,40,3914,,
44,440,2545,2545,4345,40,3905,,
45,450,2546,2546,4346,40,3896,,
46,460,2547,2547,4347,40,3887,,
47,470,2548,2548,4348,40,3878,,
48,480,2549,2549,4349,40,3869,,
49,490,2550,2550,4350,40,3860,,
50,500,2551,2551,4351,40,3851,,
51,510,2552,2552,4352,40,3842,,
52,520,2553,2553,4353,40,3833,,
53,530,2554,2554,4354,40,3824,,
54,540,2555,2555,4355,40,3815,,
55,550,2556,2556,4356,40,3806,,
56,560,2557,2557,4357,40,3797,,
57,570,2558,2558,4358,40,3788,,
58,580,2559,2559,4359,40,3779,,
59,590,2982,2982,4360,40,3770,,
60,600,4333,4333,4783,40,4183,,
61,610,4334,4334,6134,10,5524,,
62,620,4335,4335,6135,40,5515,,
63,630,4336,4336,6136,40,5506,,
64,640,4337,4337,6137,40,5497,,
65,650,4338,4338,6138,40,5488,,
66,660,4339,4339,6139,40,5479,,
67,670,4340,4340,6140,40,5470,,
68,680,4341,4341,6141,40,5461,,
69,690,4342,4342,6142,40,5452,,
70,700,4343,4343,6143,40,5443,,
71,710,4344,4344,6144,40,5434,,
72,720,4345,4345,6145,40,5425,,
73,730,4346,4346,6146,40,5416,,
74,740,4347,4347,6147,40,5407,,
75,750,4348,4348,6148,40,5398,,
76,760,4349,4349,6149,40,5389,,
77,770,4350,4350,6150,40,5380,,
78,780,4351,4351,6151,40,5371,,
79,790,4352,4352,6152,40,5362,,
80,800,4353,4353,6153,40,5353,,
81,810,4354,4354,6154,40,5344,,
82,820,4355,4355,6155,40,5335,,
83,830,4356,4356,6156,40,5326,,
84,840,4357,4357,6157,40,5317,,
85,850,4358,4358,6158,40,5308,,
86,860,4359,4359,6159,40,5299,,
87,870,4360,4360,6160,40,5290,,
88,880,4361,4361,6161,40,5281,,
89,890,4784,4784,6162,40,5272,,
90,900,6135,6135,6585,40,5685,,
91,910,6136,6136,7936,10,7026,,
92,920,6137,6137,7937,10,7017,,
93,930,6138,6138,7938,10,7008,,
94,940,6139,6139,7939,20,6999,,
95,950,6140,6140,7940,20,6990,,
96,960,6141,6141,7941,20,6981,,
97,970,6142,6142,7942,20,6972,,
98,980,6143,6143,7943,30,6963,,
99,990,6144,6144,7944,30,6954,,
100,1000,6145,6145,7945,30,6945,,
101,1010,6146,6146,7946,30,6936,,
102,1020,6147,6147,7947,30,6927,,
103,1030,6148,6148,7948,30,6918,,
104,1040,6149,6149,7949,30,6909,,
105,1050,6150,6150,7950,30,6900,,
106,1060,6151,6151,7951,40,6891,,
107,1070,6152,6152,7952,40,6882,,
108,1080,6153,6153,7953,40,6873,,
109,1090,6154,6154,7954,40,6864,,
110,1100,6155,6155,7955,40,6855,,
111,1110,6156,6156,7956,40,6846,,
112,1120,6157,6157,7957,40,6837,,
113,1130,6158,6158,7958,40,6828,,
114,1140,6159,6159,7959,40,6819,,
115,1150,6160,6160,7960,40,6810,,
116,1160,6161,6161,7961,40,6801,,
117,1170,6162,6162,7962,40,6792,,
118,1180,6163,6163,7963,40,6783,,
119,1190,6586,6586,7964,40,6774,,
,,,,,,,,
,,,,,,4635.302521,,every 10 sec